日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260331,6418,日本金銭機械,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6419,マースグループホールディングス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6420,ガリレイ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6424,高見沢サイバネティックス,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6425,ユニバーサルエンターテインメント,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6428,オーイズミ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6430,ダイコク電機,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6432,竹内製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6433,ヒーハイスト,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6436,アマノ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6440,ＪＵＫＩ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6444,サンデン,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6445,ジャノメ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6448,ブラザー工業,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20260331,6454,マックス,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6455,モリタホールディングス,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,7,TOPIX Small 2
20260331,6457,グローリー,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6458,新晃工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6459,大和冷機工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6460,セガサミーホールディングス,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6463,ＴＰＲ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6464,ツバキ・ナカシマ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6465,ホシザキ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6466,ＴＶＥ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6467,ニチダイ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6469,放電精密加工研究所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6470,大豊工業,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6471,日本精工,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6472,ＮＴＮ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6473,ジェイテクト,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6474,不二越,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6479,ミネベアミツミ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20260331,6480,日本トムソン,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6481,ＴＨＫ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260331,6482,ＹＵＳＨＩＮ,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6484,ＫＶＫ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6485,前澤給装工業,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260331,6486,イーグル工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6488,ヨシタケ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6489,前澤工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6490,ＰＩＬＬＡＲ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260331,6492,岡野バルブ製造,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260331,6493,ＮＩＴＴＡＮ,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
